Column1,Año,Trimestre,Mes,Día
Action para el despliegue en AWS,2026,Qtr 1,enero,26
Añadido de cancelación de la suscripción premium a la pasarela de pago,2026,Qtr 2,abril,12
"Añadido del componente meeting-card, arreglo de búsqueda de quedadas ya pasadas, eliminación del select de las contraseñas de los usuarios sin hacerlo a mano y rediseño de la pantalla personal-stats",2026,Qtr 2,mayo,2
Arreglo del require login,2026,Qtr 2,abril,25
Arreglo del sistema de refresh tokens,2026,Qtr 2,mayo,4
Arreglo filtros back quedadas,2025,Qtr 4,diciembre,28
Arreglo Problema entre dispositivos,2026,Qtr 2,abril,19
Arreglo sistema de requerimiento de inicio de sesión,2026,Qtr 2,abril,12
arreglo vulnerabilidades,2025,Qtr 4,diciembre,26
Arreglos de diseño y avances con el sistema de notificaciones y solicitudes,2026,Qtr 2,abril,27
Arreglos de diseño y continuación del sistema de edición de quedadas,2026,Qtr 2,abril,26
Arreglos de diseño y correcciones de fechas al filtrar quedadas,2026,Qtr 2,mayo,11
Arreglos diseño,2026,Qtr 2,mayo,5
Arreglos en el diseño del formulario de quedadas,2026,Qtr 2,mayo,5
Arreglos en el tema de primeng,2026,Qtr 1,enero,15
Arreglos en meeting details y comienzo de la gestion de administradores en los detalles de la quedada,2026,Qtr 1,enero,14
Arreglos visuales en los chats,2026,Qtr 2,mayo,9
"Arreglos y avances en el componente manage-chat-details, ahora hay administardores y creadores y se pueden editar los detalles",2026,Qtr 2,mayo,9
Avance de los detalles de las quedadas,2025,Qtr 4,diciembre,28
Avance en validación de campos,2025,Qtr 4,diciembre,31
Avances actualización de los detalles de las quedadas,2026,Qtr 1,enero,10
Avances con el competitive_score_target,2026,Qtr 2,mayo,5
Avances con el sistema de refresh de tokns (Peniente de arreglar),2026,Qtr 2,mayo,3
Avances con las url temporales en chat-details,2026,Qtr 2,mayo,6
"Avances con login, registro, y creación de quedadas",2025,Qtr 4,diciembre,29
Avances con los cambios de campos del perfil,2025,Qtr 4,diciembre,30
